,imae
2015-01-31,88.29952889
2015-02-28,90.03595477
2015-03-31,92.86016375
2015-04-30,88.50364298
2015-05-31,92.09404251
2015-06-30,92.53435082
2015-07-31,93.83934728
2015-08-31,92.74651013
2015-09-30,93.77947903
2015-10-31,96.66566987
2015-11-30,98.42518854
2015-12-31,97.87244591
2016-01-31,94.53394314
2016-02-29,95.60148269
2016-03-31,96.36077934
2016-04-30,93.13153821
2016-05-31,95.38605036
2016-06-30,95.66407142
2016-07-31,94.94058562
2016-08-31,94.84091423
2016-09-30,98.1229679
2016-10-31,101.25868423
2016-11-30,103.90500657
2016-12-31,103.79415583
2017-01-31,96.7090699
2017-02-28,96.96347094
2017-03-31,100.85313152
2017-04-30,94.8414932
2017-05-31,99.0588115
2017-06-30,99.90347224
2017-07-31,96.26290072
2017-08-31,96.64036317
2017-09-30,98.99109331
2017-10-31,103.96201946
2017-11-30,107.70988831
2017-12-31,108.10428573
2018-01-31,99.20276485
2018-02-28,98.9934761
2018-03-31,103.54638579
2018-04-30,99.61391776
2018-05-31,104.58068483
2018-06-30,103.42599343
2018-07-31,101.46137524
2018-08-31,101.10303079
2018-09-30,101.62406633
2018-10-31,106.09322228
2018-11-30,108.90867326
2018-12-31,108.02821365
2019-01-31,101.56486502
2019-02-28,102.02363969
2019-03-31,106.03618863
2019-04-30,100.07877916
2019-05-31,103.8819568
2019-06-30,103.71961024
2019-07-31,102.53417771
2019-08-31,101.50462632
2019-09-30,103.6272842
2019-10-31,109.10340457
2019-11-30,111.5022616
2019-12-31,111.09975922
2020-01-31,102.26375068
2020-02-29,104.30412721
2020-03-31,102.81197269
2020-04-30,89.71364372
2020-05-31,91.90498727
2020-06-30,95.87364224
2020-07-31,91.92867628
2020-08-31,92.54451459
2020-09-30,97.40384311
2020-10-31,101.71683772
2020-11-30,105.09705858
2020-12-31,110.51826814
2021-01-31,96.49454959
2021-02-28,100.15996394
2021-03-31,107.98052068
2021-04-30,101.60824387
2021-05-31,104.58572572
2021-06-30,104.64931679
2021-07-31,107.76665622
2021-08-31,105.63793032
2021-09-30,108.67653489
2021-10-31,111.1974077
2021-11-30,116.66558789
2021-12-31,119.38533667
2022-01-31,105.43723775
2022-02-28,107.23038557
2022-03-31,116.7474242
2022-04-30,104.40321171
2022-05-31,107.73645979
2022-06-30,107.93111832
2022-07-31,108.99853988
2022-08-31,109.48190451
2022-09-30,110.6532553
2022-10-31,115.57230171
2022-11-30,121.13124058
2022-12-31,123.82252467
2023-01-31,110.52567453
2023-02-28,113.68230919
2023-03-31,120.72633816
2023-04-30,108.61514037
2023-05-31,116.37121844
2023-06-30,116.62400645
2023-07-31,114.69904077
2023-08-31,117.12033448
2023-09-30,117.42682942
2023-10-31,122.03586189
2023-11-30,127.16055794
2023-12-31,126.75227303
2024-01-31,114.57998933
2024-02-29,118.53456447
2024-03-31,123.02931886
2024-04-30,118.5511329
2024-05-31,122.71374257
2024-06-30,120.06398096
2024-07-31,121.3742148
2024-08-31,119.73727165
2024-09-30,121.94110293
2024-10-31,127.4256897
2024-11-30,133.11189425
2024-12-31,134.69227008
2025-01-31,118.68398923
2025-02-28,123.65872678
2025-03-31,130.20759514
2025-04-30,122.47200348
2025-05-31,126.36995765
2025-06-30,126.612538
2025-07-31,130.00197471
2025-08-31,126.35079434
2025-09-30,126.52615778
