,ipc
2015-01-31,0.03859117
2015-02-28,-0.16496779
2015-03-31,0.14778418
2015-04-30,-0.07813418
2015-05-31,-0.29425888
2015-06-30,0.4291724
2015-07-31,-0.42910508
2015-08-31,-0.087303
2015-09-30,-0.26420536
2015-10-31,-0.28180221
2015-11-30,-0.00929327
2015-12-31,0.1861799
2016-01-31,0.67888827
2016-02-29,-0.02459393
2016-03-31,-0.9078699
2016-04-30,0.09161382
2016-05-31,0.19413053
2016-06-30,-0.0203567
2016-07-31,0.93095323
2016-08-31,0.03236255
2016-09-30,-0.47252098
2016-10-31,-0.11686013
2016-11-30,-0.00076976
2016-12-31,0.39023652
2017-01-31,0.56950547
2017-02-28,0.40225232
2017-03-31,-0.42145947
2017-04-30,0.15289592
2017-05-31,0.22104622
2017-06-30,0.08108415
2017-07-31,0.32480917
2017-08-31,-0.21846814
2017-09-30,0.24921569
2017-10-31,0.55553623
2017-11-30,0.1613443
2017-12-31,0.47133241
2018-01-31,0.40647041
2018-02-28,0.21074081
2018-03-31,-0.03130002
2018-04-30,-0.07894679
2018-05-31,-0.11133587
2018-06-30,0.17743076
2018-07-31,0.2758998
2018-08-31,-0.06599108
2018-09-30,0.22118902
2018-10-31,0.3736791
2018-11-30,0.42200206
2018-12-31,0.2109019
2019-01-31,0.0513169
2019-02-28,0.08171638
2019-03-31,-0.14486004
2019-04-30,0.56138166
2019-05-31,0.13510989
2019-06-30,0.27481693
2019-07-31,0.73395644
2019-08-31,-0.0984496
2019-09-30,-0.09717991
2019-10-31,-0.07335818
2019-11-30,0.20892888
2019-12-31,-0.11714369
2020-01-31,0.11077782
2020-02-29,0.28596495
2020-03-31,-0.03022898
2020-04-30,-0.44097244
2020-05-31,-0.14518561
2020-06-30,-0.02133282
2020-07-31,0.25521431
2020-08-31,-0.00404101
2020-09-30,0.27245983
2020-10-31,0.07956547
2020-11-30,0.0014895
2020-12-31,0.5284544
2021-01-31,0.17693626
2021-02-28,-0.25524011
2021-03-31,0.02795866
2021-04-30,0.28942778
2021-05-31,-0.01498208
2021-06-30,0.53727862
2021-07-31,-0.20544512
2021-08-31,0.27678152
2021-09-30,0.62899689
2021-10-31,0.48891946
2021-11-30,0.82266385
2021-12-31,0.48299297
2022-01-31,0.37009296
2022-02-28,1.09324756
2022-03-31,0.88223313
2022-04-30,1.57714623
2022-05-31,1.44309414
2022-06-30,1.77784002
2022-07-31,1.08622068
2022-08-31,0.86001879
2022-09-30,-0.95349159
2022-10-31,-0.7619015
2022-11-30,0.14149185
2022-12-31,0.13223896
2023-01-31,0.1604649
2023-02-28,-0.85255136
2023-03-31,-0.22846145
2023-04-30,-0.34372219
2023-05-31,-0.10528528
2023-06-30,-0.15690305
2023-07-31,-0.18716406
2023-08-31,-0.16494494
2023-09-30,0.11456765
2023-10-31,0.20867628
2023-11-30,-0.22975457
2023-12-31,0.00969385
2024-01-31,0.05509726
2024-02-29,-0.1076899
2024-03-31,-0.28387175
2024-04-30,0.32745447
2024-05-31,0.08153899
2024-06-30,0.14464296
2024-07-31,-0.12163323
2024-08-31,0.11513259
2024-09-30,-0.33290373
2024-10-31,-0.44411085
2024-11-30,0.4687144
2024-12-31,0.94418427
2025-01-31,0.36146239
2025-02-28,-0.01283625
2025-03-31,-0.31731558
2025-04-30,-0.50588804
2025-05-31,-0.40446087
2025-06-30,0.04473944
2025-07-31,-0.51500633
2025-08-31,-0.21491293
2025-09-30,-0.4007167
2025-10-31,0.18501384
2025-11-30,0.47041771
2025-12-31,0.08208478
2026-01-31,-0.96346918
2026-02-28,-0.21746865
2026-03-31,0.33558804
2026-04-30,-0.04438549
2026-05-31,0.2691568
2026-06-30,0.70684393
2026-07-31,-0.47378648
2026-08-31,-0.10689685
