,compra,venta
2006-10-17,521.12,523.39
2006-10-18,516.56,523.15
2006-10-19,515.05,521.82
2006-10-20,515.19,520.5
2006-10-21,514.91,520.09
2006-10-22,514.91,520.09
2006-10-23,514.91,520.09
2006-10-24,514.91,519.93
2006-10-25,514.95,519.9
2006-10-26,515.03,520.08
2006-10-27,515.13,519.87
2006-10-28,515.07,519.8
2006-10-29,515.07,519.8
2006-10-30,515.07,519.8
2006-10-31,515.04,519.63
2006-11-01,514.99,519.75
2006-11-02,514.82,519.58
2006-11-03,514.72,519.5
2006-11-04,514.69,519.39
2006-11-05,514.69,519.39
2006-11-06,514.69,519.39
2006-11-07,514.66,519.33
2006-11-08,514.68,519.3
2006-11-09,514.74,519.4
2006-11-10,514.79,519.4
2006-11-11,514.71,519.23
2006-11-12,514.71,519.23
2006-11-13,514.71,519.23
2006-11-14,514.79,519.2
2006-11-15,514.78,519.28
2006-11-16,514.79,519.27
2006-11-17,514.81,519.09
2006-11-18,514.77,519.08
2006-11-19,514.77,519.08
2006-11-20,514.77,519.08
2006-11-21,514.84,519.15
2006-11-22,514.85,518.77
2006-11-23,514.86,518.87
2006-11-24,514.9,518.9
2006-11-25,514.82,518.82
2006-11-26,514.82,518.82
2006-11-27,514.82,518.82
2006-11-28,514.72,518.72
2006-11-29,514.55,518.79
2006-11-30,514.62,518.78
2006-12-01,514.63,518.77
2006-12-02,514.63,518.77
2006-12-03,514.63,518.77
2006-12-04,514.63,518.77
2006-12-05,514.68,518.8
2006-12-06,514.84,518.79
2006-12-07,514.88,518.82
2006-12-08,515.01,518.82
2006-12-09,515.04,518.78
2006-12-10,515.04,518.78
2006-12-11,515.04,518.78
2006-12-12,515.04,518.87
2006-12-13,515.06,518.92
2006-12-14,515.1,518.96
2006-12-15,515.18,518.97
2006-12-16,515.23,518.97
2006-12-17,515.23,518.97
2006-12-18,515.23,518.97
2006-12-19,515.27,518.9
2006-12-20,515.39,518.94
2006-12-21,515.43,519.0
2006-12-22,515.42,519.09
2006-12-23,515.46,519.21
2006-12-24,515.46,519.21
2006-12-25,515.46,519.21
2006-12-26,515.46,519.21
2006-12-27,515.5,519.24
2006-12-28,515.57,519.46
2006-12-29,515.7,519.69
2006-12-30,515.84,519.95
2006-12-31,515.84,519.95
2007-01-01,515.84,519.95
2007-01-02,515.84,519.95
2007-01-03,515.72,519.73
2007-01-04,515.68,519.82
2007-01-05,515.84,519.84
2007-01-06,515.87,519.85
2007-01-07,515.87,519.85
2007-01-08,515.87,519.85
2007-01-09,515.85,519.84
2007-01-10,515.87,519.85
2007-01-11,515.93,519.76
2007-01-12,516.02,519.85
2007-01-13,516.04,519.87
2007-01-14,516.04,519.87
2007-01-15,516.04,519.87
2007-01-16,516.12,519.89
2007-01-17,516.16,519.9
2007-01-18,516.23,519.99
2007-01-19,516.23,519.96
2007-01-20,516.29,519.98
2007-01-21,516.29,519.98
2007-01-22,516.29,519.98
2007-01-23,516.33,520.06
2007-01-24,516.38,520.11
2007-01-25,516.41,520.17
2007-01-26,516.44,520.19
2007-01-27,516.51,520.24
2007-01-28,516.51,520.24
2007-01-29,516.51,520.24
2007-01-30,516.58,520.44
2007-01-31,517.11,521.05
2007-02-01,517.25,521.2
2007-02-02,517.22,521.18
2007-02-03,517.16,521.22
2007-02-04,517.16,521.22
2007-02-05,517.16,521.22
2007-02-06,517.18,521.23
2007-02-07,517.17,521.19
2007-02-08,517.24,521.23
2007-02-09,517.23,521.26
2007-02-10,517.26,521.17
2007-02-11,517.26,521.17
2007-02-12,517.26,521.17
2007-02-13,517.24,521.08
2007-02-14,517.26,521.06
2007-02-15,517.27,521.04
2007-02-16,517.3,521.05
2007-02-17,517.26,520.97
2007-02-18,517.26,520.97
2007-02-19,517.26,520.97
2007-02-20,517.27,520.84
2007-02-21,517.19,520.94
2007-02-22,517.15,520.83
2007-02-23,517.16,520.83
2007-02-24,517.03,520.82
2007-02-25,517.03,520.82
2007-02-26,517.03,520.82
2007-02-27,516.98,520.86
2007-02-28,517.01,520.97
2007-03-01,516.99,520.96
2007-03-02,516.93,520.87
2007-03-03,516.87,520.85
2007-03-04,516.87,520.85
2007-03-05,516.87,520.85
2007-03-06,516.87,520.85
