,compra,venta
2015-01-30,530.53,542.64
2015-01-31,530.85,543.08
2015-02-01,530.85,543.08
2015-02-02,530.85,543.08
2015-02-03,530.98,543.16
2015-02-04,530.85,543.09
2015-02-05,531.58,543.75
2015-02-06,532.48,544.64
2015-02-07,532.59,544.74
2015-02-08,532.59,544.74
2015-02-09,532.59,544.74
2015-02-10,532.71,544.72
2015-02-11,532.6,544.68
2015-02-12,532.63,544.65
2015-02-13,531.33,543.34
2015-02-14,531.14,543.26
2015-02-15,531.14,543.26
2015-02-16,531.14,543.26
2015-02-17,530.86,542.86
2015-02-18,530.76,542.81
2015-02-19,530.46,542.41
2015-02-20,530.27,542.25
2015-02-21,529.97,541.96
2015-02-22,529.97,541.96
2015-02-23,529.97,541.96
2015-02-24,529.31,541.14
2015-02-25,528.84,540.78
2015-02-26,528.72,540.66
2015-02-27,528.64,540.59
2015-02-28,528.69,540.58
2015-03-01,528.69,540.58
2015-03-02,528.69,540.58
2015-03-03,527.91,539.61
2015-03-04,527.78,539.52
2015-03-05,528.64,540.47
2015-03-06,528.75,540.53
2015-03-07,528.68,540.53
2015-03-08,528.68,540.53
2015-03-09,528.68,540.53
2015-03-10,528.76,540.54
2015-03-11,528.63,540.52
2015-03-12,528.39,540.31
2015-03-13,527.56,539.46
2015-03-14,526.87,538.8
2015-03-15,526.87,538.8
2015-03-16,526.87,538.8
2015-03-17,526.92,538.73
2015-03-18,526.67,538.51
2015-03-19,526.7,538.54
2015-03-20,526.48,538.4
2015-03-21,526.45,538.35
2015-03-22,526.45,538.35
2015-03-23,526.45,538.35
2015-03-24,526.54,538.37
2015-03-25,526.45,538.37
2015-03-26,526.42,538.38
2015-03-27,526.45,538.38
2015-03-28,526.46,538.36
2015-03-29,526.46,538.36
2015-03-30,526.46,538.36
2015-03-31,527.36,539.08
2015-04-01,527.35,539.12
2015-04-02,526.65,539.01
2015-04-03,526.65,539.01
2015-04-04,526.65,539.01
2015-04-05,526.65,539.01
2015-04-06,526.65,539.01
2015-04-07,526.72,538.61
2015-04-08,526.45,538.5
2015-04-09,526.46,538.49
2015-04-10,526.47,538.43
2015-04-11,526.3,538.22
2015-04-12,526.3,538.22
2015-04-13,526.3,538.22
2015-04-14,526.36,538.11
2015-04-15,526.03,537.85
2015-04-16,525.75,537.48
2015-04-17,525.44,537.38
2015-04-18,525.36,537.28
2015-04-19,525.36,537.28
2015-04-20,525.36,537.28
2015-04-21,525.57,537.43
2015-04-22,525.82,537.84
2015-04-23,525.8,537.76
2015-04-24,525.9,537.81
2015-04-25,525.94,537.75
2015-04-26,525.94,537.75
2015-04-27,525.94,537.75
2015-04-28,526.27,538.02
2015-04-29,526.27,538.11
2015-04-30,526.27,538.11
2015-05-01,526.31,538.17
2015-05-02,526.31,538.17
2015-05-03,526.31,538.17
2015-05-04,526.31,538.17
2015-05-05,526.27,538.16
2015-05-06,526.23,538.17
2015-05-07,526.24,538.13
2015-05-08,526.21,538.09
2015-05-09,526.65,538.53
2015-05-10,526.65,538.53
2015-05-11,526.65,538.53
2015-05-12,526.76,538.47
2015-05-13,526.73,538.52
2015-05-14,526.77,538.55
2015-05-15,526.78,538.52
2015-05-16,526.8,538.56
2015-05-17,526.8,538.56
2015-05-18,526.8,538.56
2015-05-19,526.84,538.55
2015-05-20,526.76,538.54
2015-05-21,526.75,538.55
2015-05-22,526.71,538.55
2015-05-23,526.69,538.55
2015-05-24,526.69,538.55
2015-05-25,526.69,538.55
2015-05-26,526.71,538.58
2015-05-27,526.65,538.56
2015-05-28,527.73,539.65
2015-05-29,528.07,539.99
2015-05-30,530.25,542.46
2015-05-31,530.25,542.46
2015-06-01,530.25,542.46
2015-06-02,530.45,542.45
2015-06-03,530.47,542.38
2015-06-04,530.42,542.34
2015-06-05,530.4,542.32
2015-06-06,530.38,542.28
2015-06-07,530.38,542.28
2015-06-08,530.38,542.28
2015-06-09,530.42,542.28
2015-06-10,530.02,542.31
2015-06-11,530.01,542.31
2015-06-12,529.91,542.22
2015-06-13,529.9,542.2
2015-06-14,529.9,542.2
2015-06-15,529.9,542.2
2015-06-16,529.92,542.19
2015-06-17,529.89,542.2
2015-06-18,529.93,542.24
2015-06-19,529.4,541.74
2015-06-20,529.31,541.64
