,volumen_monex
2015-01-30,33982000.0
2015-01-31,
2015-02-01,
2015-02-02,15356000.0
2015-02-03,9301000.0
2015-02-04,28019000.0
2015-02-05,19797000.0
2015-02-06,6761000.0
2015-02-07,
2015-02-08,
2015-02-09,12576000.0
2015-02-10,7480000.0
2015-02-11,3955000.0
2015-02-12,18081000.0
2015-02-13,11989000.0
2015-02-14,
2015-02-15,
2015-02-16,6239000.0
2015-02-17,6897000.0
2015-02-18,10404000.0
2015-02-19,6321000.0
2015-02-20,17940000.0
2015-02-21,
2015-02-22,
2015-02-23,14680000.0
2015-02-24,12904000.0
2015-02-25,17493000.0
2015-02-26,20792000.0
2015-02-27,42387000.0
2015-02-28,
2015-03-01,
2015-03-02,6917000.0
2015-03-03,11006000.0
2015-03-04,16194000.0
2015-03-05,18167000.0
2015-03-06,14516000.0
2015-03-07,
2015-03-08,
2015-03-09,13901000.0
2015-03-10,18806000.0
2015-03-11,24611000.0
2015-03-12,37071000.0
2015-03-13,43101000.0
2015-03-14,
2015-03-15,
2015-03-16,26277000.0
2015-03-17,21465000.0
2015-03-18,14083000.0
2015-03-19,24032000.0
2015-03-20,15993000.0
2015-03-21,
2015-03-22,
2015-03-23,17933000.0
2015-03-24,12793000.0
2015-03-25,17097000.0
2015-03-26,19894000.0
2015-03-27,26751000.0
2015-03-28,
2015-03-29,
2015-03-30,13023000.0
2015-03-31,17280000.0
2015-04-01,19863000.0
2015-04-02,0.0
2015-04-03,0.0
2015-04-04,
2015-04-05,
2015-04-06,23101000.0
2015-04-07,15851000.0
2015-04-08,17965000.0
2015-04-09,14479000.0
2015-04-10,15945000.0
2015-04-11,
2015-04-12,
2015-04-13,18878000.0
2015-04-14,19268000.0
2015-04-15,38911000.0
2015-04-16,20494000.0
2015-04-17,25997000.0
2015-04-18,
2015-04-19,
2015-04-20,20820000.0
2015-04-21,16310000.0
2015-04-22,15447000.0
2015-04-23,21355000.0
2015-04-24,21247000.0
2015-04-25,
2015-04-26,
2015-04-27,24359000.0
2015-04-28,12869000.0
2015-04-29,20775000.0
2015-04-30,21009000.0
2015-05-01,0.0
2015-05-02,
2015-05-03,
2015-05-04,9740000.0
2015-05-05,14570000.0
2015-05-06,13270000.0
2015-05-07,16229000.0
2015-05-08,21381000.0
2015-05-09,
2015-05-10,
2015-05-11,15251000.0
2015-05-12,12268000.0
2015-05-13,16305000.0
2015-05-14,25186000.0
2015-05-15,33602000.0
2015-05-16,
2015-05-17,
2015-05-18,13903000.0
2015-05-19,8317000.0
2015-05-20,9438000.0
2015-05-21,14065000.0
2015-05-22,13289000.0
2015-05-23,
2015-05-24,
2015-05-25,8819000.0
2015-05-26,13577000.0
2015-05-27,10915000.0
2015-05-28,8204000.0
2015-05-29,19577000.0
2015-05-30,
2015-05-31,
2015-06-01,7530000.0
2015-06-02,7400000.0
2015-06-03,13743000.0
2015-06-04,6268000.0
2015-06-05,11667000.0
2015-06-06,
2015-06-07,
2015-06-08,9093000.0
2015-06-09,16949000.0
2015-06-10,20478000.0
2015-06-11,20465000.0
2015-06-12,12897000.0
2015-06-13,
2015-06-14,
2015-06-15,20690000.0
2015-06-16,19081000.0
2015-06-17,18957000.0
2015-06-18,23578000.0
2015-06-19,8731000.0
2015-06-20,
2015-06-21,
2015-06-22,12038000.0
2015-06-23,11770000.0
2015-06-24,10841000.0
2015-06-25,6258000.0
2015-06-26,11906000.0
2015-06-27,
2015-06-28,
2015-06-29,13947000.0
2015-06-30,14239000.0
2015-07-01,10834000.0
2015-07-02,14038000.0
2015-07-03,13591000.0
2015-07-04,
2015-07-05,
2015-07-06,7312000.0
2015-07-07,15660000.0
2015-07-08,16682000.0
2015-07-09,15832000.0
2015-07-10,15466000.0
2015-07-11,
2015-07-12,
2015-07-13,15448000.0
2015-07-14,18512000.0
2015-07-15,21381000.0
2015-07-16,19162000.0
2015-07-17,16950000.0
2015-07-18,
2015-07-19,
2015-07-20,16553000.0
2015-07-21,10110000.0
2015-07-22,7854000.0
2015-07-23,10349000.0
2015-07-24,13629000.0
2015-07-25,
2015-07-26,
2015-07-27,22136000.0
2015-07-28,16878000.0
2015-07-29,10094000.0
2015-07-30,17151000.0
2015-07-31,19120000.0
2015-08-01,
2015-08-02,
2015-08-03,8163000.0
2015-08-04,4924000.0
2015-08-05,7502000.0
2015-08-06,5632000.0
2015-08-07,13449000.0
2015-08-08,
2015-08-09,
2015-08-10,12342000.0
2015-08-11,11625000.0
2015-08-12,10817000.0
2015-08-13,30077000.0
2015-08-14,21387000.0
2015-08-15,
2015-08-16,
2015-08-17,13932000.0
2015-08-18,6472000.0
2015-08-19,11327000.0
2015-08-20,9899000.0
2015-08-21,12167000.0
2015-08-22,
2015-08-23,
2015-08-24,9770000.0
2015-08-25,6602000.0
2015-08-26,14880000.0
2015-08-27,12906000.0
2015-08-28,22533000.0
2015-08-29,
2015-08-30,
2015-08-31,9690000.0
2015-09-01,3543000.0
2015-09-02,5948000.0
2015-09-03,8312000.0
2015-09-04,8452000.0
2015-09-05,
2015-09-06,
2015-09-07,7368000.0
2015-09-08,10209000.0
2015-09-09,10336000.0
2015-09-10,25896000.0
2015-09-11,24064000.0
2015-09-12,
2015-09-13,
2015-09-14,16979000.0
2015-09-15,0.0
2015-09-16,17674000.0
2015-09-17,15035000.0
2015-09-18,13230000.0
2015-09-19,
2015-09-20,
2015-09-21,7306000.0
2015-09-22,17653000.0
2015-09-23,11777000.0
2015-09-24,5533000.0
2015-09-25,11447000.0
2015-09-26,
2015-09-27,
2015-09-28,10026000.0
2015-09-29,13497000.0
2015-09-30,15774000.0
2015-10-01,5020000.0
2015-10-02,7527000.0
2015-10-03,
2015-10-04,
2015-10-05,11127000.0
2015-10-06,6524000.0
2015-10-07,11558000.0
2015-10-08,21832000.0
2015-10-09,10448000.0
2015-10-10,
2015-10-11,
2015-10-12,0.0
2015-10-13,14099000.0
2015-10-14,14623000.0
2015-10-15,18997000.0
2015-10-16,17481000.0
2015-10-17,
2015-10-18,
2015-10-19,12732000.0
2015-10-20,15070000.0
2015-10-21,8876000.0
2015-10-22,14055000.0
2015-10-23,10463000.0
2015-10-24,
2015-10-25,
2015-10-26,17396000.0
2015-10-27,12822000.0
2015-10-28,10647000.0
2015-10-29,11621000.0
2015-10-30,9432000.0
2015-10-31,
2015-11-01,
2015-11-02,8327000.0
2015-11-03,7895000.0
2015-11-04,9748000.0
2015-11-05,14028000.0
2015-11-06,12113000.0
2015-11-07,
2015-11-08,
2015-11-09,12816000.0
2015-11-10,12895000.0
2015-11-11,13104000.0
2015-11-12,28010000.0
2015-11-13,21838000.0
2015-11-14,
2015-11-15,
2015-11-16,14503000.0
2015-11-17,12472000.0
2015-11-18,11149000.0
2015-11-19,8836000.0
2015-11-20,18910000.0
2015-11-21,
2015-11-22,
2015-11-23,14992000.0
2015-11-24,14065000.0
2015-11-25,18512000.0
2015-11-26,16879000.0
2015-11-27,22818000.0
2015-11-28,
2015-11-29,
2015-11-30,14085000.0
2015-12-01,19640000.0
2015-12-02,24162000.0
2015-12-03,26510000.0
2015-12-04,15606000.0
2015-12-05,
2015-12-06,
2015-12-07,13601000.0
2015-12-08,10262000.0
2015-12-09,11096000.0
2015-12-10,18166000.0
2015-12-11,19322000.0
2015-12-12,
2015-12-13,
2015-12-14,28804000.0
2015-12-15,28221000.0
2015-12-16,19625000.0
2015-12-17,11118000.0
2015-12-18,29466000.0
2015-12-19,
2015-12-20,
2015-12-21,29140000.0
2015-12-22,29824000.0
2015-12-23,39694000.0
2015-12-24,15534000.0
2015-12-25,0.0
2015-12-26,
2015-12-27,
2015-12-28,16607000.0
2015-12-29,6907000.0
2015-12-30,15816000.0
2015-12-31,0.0
2016-01-01,0.0
2016-01-02,
2016-01-03,
2016-01-04,3566000.0
2016-01-05,3165000.0
2016-01-06,2837000.0
2016-01-07,10549000.0
2016-01-08,6440000.0
2016-01-09,
2016-01-10,
2016-01-11,12751000.0
2016-01-12,7632000.0
2016-01-13,11311000.0
2016-01-14,19478000.0
2016-01-15,19506000.0
2016-01-16,
2016-01-17,
2016-01-18,11861000.0
2016-01-19,10244000.0
2016-01-20,6742000.0
2016-01-21,6655000.0
2016-01-22,11817000.0
2016-01-23,
2016-01-24,
2016-01-25,9348000.0
2016-01-26,29669000.0
2016-01-27,22380000.0
2016-01-28,14129000.0
2016-01-29,19947000.0
2016-01-30,
2016-01-31,
2016-02-01,6849000.0
2016-02-02,6906000.0
2016-02-03,8368000.0
2016-02-04,13871000.0
2016-02-05,14483000.0
2016-02-06,
2016-02-07,
2016-02-08,10926000.0
2016-02-09,9714000.0
2016-02-10,7640000.0
2016-02-11,22905000.0
2016-02-12,13595000.0
2016-02-13,
2016-02-14,
2016-02-15,8086000.0
2016-02-16,12930000.0
2016-02-17,14278000.0
2016-02-18,19665000.0
2016-02-19,7839000.0
2016-02-20,
2016-02-21,
2016-02-22,4580000.0
2016-02-23,21694000.0
2016-02-24,16460000.0
